Name,x,y,xd,yd
1,47.61216,-122.281761,47.612164,-122.28183
2,47.612164,-122.28183,47.612122,-122.281921
3,47.612122,-122.281921,47.612202,-122.282005
4,47.612202,-122.282005,47.612278,-122.282074
5,47.612278,-122.282074,47.613419,-122.282539
6,47.613419,-122.282539,47.613556,-122.282631
7,47.613556,-122.282631,47.613583,-122.282646
8,47.613583,-122.282646,47.613766,-122.282806
9,47.613766,-122.282806,47.615185,-122.283875
10,47.615185,-122.283875,47.615238,-122.283913
11,47.615238,-122.283913,47.616169,-122.284615
12,47.616169,-122.284615,47.616459,-122.284615
13,47.616459,-122.284615,47.616692,-122.284599
14,47.616692,-122.284599,47.617619,-122.284569
15,47.617619,-122.284569,47.617886,-122.284721
16,47.617886,-122.284721,47.618,-122.284821
17,47.618,-122.284821,47.618103,-122.284927
18,47.618103,-122.284927,47.618191,-122.285065
19,47.618191,-122.285065,47.618263,-122.285225
20,47.618263,-122.285225,47.618282,-122.285294
21,47.618282,-122.285294,47.618309,-122.285408
22,47.618309,-122.285408,47.618313,-122.285408
23,47.618313,-122.285408,47.618339,-122.285568
24,47.618339,-122.285568,47.618359,-122.285706
25,47.618359,-122.285706,47.618359,-122.286469
26,47.618359,-122.286469,47.618359,-122.287552
27,47.618359,-122.287552,47.61837,-122.287971
28,47.61837,-122.287971,47.61837,-122.288177
29,47.61837,-122.288177,47.618347,-122.288315
30,47.618347,-122.288315,47.618339,-122.288437
31,47.618339,-122.288437,47.618305,-122.288574
32,47.618305,-122.288574,47.618298,-122.288605
33,47.618298,-122.288605,47.618275,-122.288673
34,47.618275,-122.288673,47.618195,-122.288818
35,47.618195,-122.288818,47.618099,-122.288956
36,47.618099,-122.288956,47.617977,-122.289078
37,47.617977,-122.289078,47.617851,-122.289146
38,47.617851,-122.289146,47.617786,-122.289177
39,47.617786,-122.289177,47.617653,-122.289177
40,47.617653,-122.289177,47.617397,-122.289192
41,47.617397,-122.289192,47.616497,-122.2892
42,47.616497,-122.2892,47.616306,-122.289215
43,47.616306,-122.289215,47.615208,-122.289246
44,47.615208,-122.289246,47.614986,-122.289246
45,47.614986,-122.289246,47.614044,-122.289268
46,47.614044,-122.289268,47.613007,-122.289314
47,47.613007,-122.289314,47.612888,-122.289314
48,47.612888,-122.289314,47.612896,-122.290367
49,47.612896,-122.290367,47.612904,-122.290802
50,47.612904,-122.290802,47.612919,-122.291412
51,47.612919,-122.291412,47.61293,-122.29258
52,47.61293,-122.29258,47.612934,-122.292915
53,47.612934,-122.292915,47.612946,-122.29364
54,47.612946,-122.29364,47.612946,-122.293823
55,47.612946,-122.293823,47.612949,-122.294899
56,47.612949,-122.294899,47.612953,-122.295296
57,47.612953,-122.295296,47.612961,-122.295418
58,47.612961,-122.295418,47.612942,-122.296196
59,47.612942,-122.296196,47.612934,-122.297508
60,47.612934,-122.297508,47.612934,-122.297821
61,47.612934,-122.297821,47.61293,-122.298805
62,47.61293,-122.298805,47.612934,-122.300117
63,47.612934,-122.300117,47.612942,-122.300461
64,47.612942,-122.300461,47.612949,-122.301414
65,47.612949,-122.301414,47.612942,-122.302711
66,47.612942,-122.302711,47.612942,-122.303001
67,47.612942,-122.303001,47.61293,-122.303642
68,47.61293,-122.303642,47.612919,-122.304955
69,47.612919,-122.304955,47.612907,-122.306168
70,47.612907,-122.306168,47.612907,-122.306252
71,47.612907,-122.306252,47.6129,-122.30751
72,47.6129,-122.30751,47.6129,-122.308174
73,47.6129,-122.308174,47.6129,-122.308861
74,47.6129,-122.308861,47.612904,-122.309349
75,47.612904,-122.309349,47.612904,-122.309517
76,47.612904,-122.309517,47.612904,-122.310173
77,47.612904,-122.310173,47.612904,-122.310829
78,47.612904,-122.310829,47.612907,-122.311485
79,47.612907,-122.311485,47.612907,-122.31192
80,47.612907,-122.31192,47.612911,-122.312141
81,47.612911,-122.312141,47.612911,-122.312782
82,47.612911,-122.312782,47.612919,-122.313461
83,47.612919,-122.313461,47.612919,-122.314163
84,47.612919,-122.314163,47.612911,-122.314423
85,47.612911,-122.314423,47.612907,-122.31543
86,47.612907,-122.31543,47.613022,-122.315498
87,47.613022,-122.315498,47.613354,-122.315529
88,47.613354,-122.315529,47.613064,-122.316223
89,47.613064,-122.316223,47.61293,-122.316551
90,47.61293,-122.316551,47.612873,-122.31678
91,47.612873,-122.31678,47.612911,-122.317001
92,47.612911,-122.317001,47.61293,-122.318123
93,47.61293,-122.318123,47.612942,-122.319435
94,47.612942,-122.319435,47.612942,-122.319855
95,47.612942,-122.319855,47.612949,-122.32061
96,47.612949,-122.32061,47.612949,-122.32061
97,47.612949,-122.32061,47.612965,-122.32077
98,47.612965,-122.32077,47.612988,-122.320938
99,47.612988,-122.320938,47.612988,-122.321602
100,47.612988,-122.321602,47.612972,-122.321732
101,47.612972,-122.321732,47.612949,-122.321838
102,47.612949,-122.321838,47.612911,-122.321907
103,47.612911,-122.321907,47.612881,-122.32196
104,47.612881,-122.32196,47.612839,-122.321999
105,47.612839,-122.321999,47.612797,-122.32206
106,47.612797,-122.32206,47.612732,-122.322098
107,47.612732,-122.322098,47.612564,-122.32222
108,47.612564,-122.32222,47.61256,-122.32222
109,47.61256,-122.32222,47.612511,-122.322273
110,47.612511,-122.322273,47.612488,-122.322342
111,47.612488,-122.322342,47.612389,-122.322563
112,47.612389,-122.322563,47.61216,-122.32312
113,47.61216,-122.32312,47.611927,-122.323669
114,47.611927,-122.323669,47.611694,-122.324226
115,47.611694,-122.324226,47.611572,-122.324532
116,47.611572,-122.324532,47.611462,-122.324791
117,47.611462,-122.324791,47.611229,-122.325333
118,47.611229,-122.325333,47.610874,-122.326195
119,47.610874,-122.326195,47.610763,-122.326439
120,47.610763,-122.326439,47.610531,-122.327003
121,47.610531,-122.327003,47.610302,-122.32756
122,47.610302,-122.32756,47.61018,-122.327858
123,47.61018,-122.327858,47.609837,-122.328667
124,47.609837,-122.328667,47.609604,-122.329231
125,47.609604,-122.329231,47.609367,-122.329773
126,47.609367,-122.329773,47.609226,-122.330132
127,47.609226,-122.330132,47.609226,-122.330132
